sent,type,original_sent
I wanted to pursue scientific research in the field of neurodegenerative diseases .,"['a1_past_simple_reg', 'a2_to_non_finite_forms']",I wanted to pursue scientific research in the field of neurodegenerative diseases.
It was around this time that my grandmother passed due to complications following her long struggle with Alzheimer 's disease .,"['a1_possesive_s_sing', 'a1_to_be_past_was_were', 'a1_past_simple_reg']",It was around this time that my grandmother passed due to complications following her long struggle with Alzheimer's disease.
"After it happened , my mother looked as though a weight had fallen off her shoulders .","['a1_past_simple_reg', 'a2_narrative_tenses', 'a2_past_perfect_basic']","After it happened, my mother looked as though a weight had fallen off her shoulders."
"She liquidated nearly all of it , deciding that the best way of putting it to use was by helping me repay my student loan debt .","['a1_to_be_past_was_were', 'a1_past_simple_reg']","She liquidated nearly all of it, deciding that the best way of putting it to use was by helping me repay my student loan debt."
"As reunion charades go , nothing about my life actually suggested I was off track .","['a1_to_be_past_was_were', 'a1_present_simple_reg_act', 'a1_past_simple_reg']","As reunion charades go, nothing about my life actually suggested I was off track."
"Second , I believed my alcohol abuse posed a serious threat to it all .",['a1_past_simple_reg'],"Second, I believed my alcohol abuse posed a serious threat to it all."
"After nearly 20 years of various cycles of alcohol abuse , moderation and abstinence , I concluded I would take one last shot at forging a balanced approach to drinking before turning to sobriety .","['a1_past_simple_reg', 'a2_ing_non_finite_forms']","After nearly 20 years of various cycles of alcohol abuse, moderation and abstinence, I concluded I would take one last shot at forging a balanced approach to drinking before turning to sobriety."
"After sporadically trying it over the prior year , I decided to use it every day for the next three months .","['a1_past_simple_reg', 'a2_to_non_finite_forms', 'a2_ing_non_finite_forms']","After sporadically trying it over the prior year, I decided to use it every day for the next three months."
"In tears , I confided to my wife , I 've finally broken through .","['a1_past_simple_reg', 'a2_present_perfect']","In tears, I confided to my wife, I've finally broken through."
This prompted a swift resolution of my other core challenge : I would no longer allow my anxiety about living the right way interfere with being my true self in all dimensions of this life .,"['a1_past_simple_reg', 'a2_ing_non_finite_forms']",This prompted a swift resolution of my other core challenge: I would no longer allow my anxiety about living the right way interfere with being my true self in all dimensions of this life.
"Retired district judge George Allen ruled Friday that Richard Bryan Kussmaul , 45 , should be free .","['a1_past_simple_reg', 'a2_should']","Retired district judge George Allen ruled Friday that Richard Bryan Kussmaul, 45, should be free."
They also said their confessions were coerced by a deputy who threatened them with the death penalty .,"['a1_past_simple_reg', 'a2_past_reported_speech', 'a2_say_reported_verb']",They also said their confessions were coerced by a deputy who threatened them with the death penalty.
"After they were sentenced to 20 years in prison , each recanted his confession .","['a1_past_simple_reg', 'a2_passive_past_simple']","After they were sentenced to 20 years in prison, each recanted his confession."
"For advice on how to deal with this , I turned to my late father , Bill Thrasher .","['a1_past_simple_reg', 'a2_to_non_finite_forms']","For advice on how to deal with this, I turned to my late father, Bill Thrasher."
"My dad died suddenly , in 2003 , while teaching a class full of students a blood clot killed him instantly while he was lecturing about the civil war and the reconstruction .","['a1_past_simple_reg', 'a2_past_continuous']","My dad died suddenly, in 2003, while teaching a class full of students a blood clot killed him instantly while he was lecturing about the civil war and the reconstruction."
I feel depressed that the same issues he fought remain so present some three decades later - issues that wo n't be solved in my lifetime .,"['a1_present_simple_reg_act', 'a1_past_simple_reg']",I feel depressed that the same issues he fought remain so present some three decades later - issues that won't be solved in my lifetime.
"If he complained , he risked being fired during previous employment as a waiter at a cafe , he was sacked for asking for time off to recover from illness .","['a1_past_simple_reg', 'a2_to_non_finite_forms', 'a2_ing_non_finite_forms', 'a2_passive_past_simple']","If he complained, he risked being fired during previous employment as a waiter at a cafe, he was sacked for asking for time off to recover from illness."
"Sankari struggled to access support from aid groups and officials in Istanbul because he had first registered with the Turkish government in Hatay , a city near the country 's southern borders .","['a1_possesive_s_sing', 'a1_past_simple_reg', 'a2_past_perfect_basic', 'a2_to_non_finite_forms']","Sankari struggled to access support from aid groups and officials in Istanbul because he had first registered with the Turkish government in Hatay, a city near the country's southern borders."
"To apply for resettlement in the west , or to secure even basic support from NGOs , Sankari needed to return to Hatay .","['a1_past_simple_reg', 'a2_to_non_finite_forms']","To apply for resettlement in the west, or to secure even basic support from NGOs, Sankari needed to return to Hatay."
"LGBTI refugees currently living in Turkey , and expressed sadness about Sankari 's death .","['a1_possesive_s_sing', 'a1_past_simple_reg']","LGBTI refugees currently living in Turkey, and expressed sadness about Sankari's death."
A spokesperson added : We are very sorry and we would like to express our shock and sadness at this appalling crime .,"['a1_to_be_present_is_am_are', 'a1_past_simple_reg', 'a2_to_non_finite_forms']",A spokesperson added: We are very sorry and we would like to express our shock and sadness at this appalling crime.
We are looking forward to seeing that investigation of the case by the officials concluded asap and perpetrators are brought to justice .,"['a1_present_continuous_act_rn', 'a1_past_simple_reg', 'a2_to_non_finite_forms', 'a2_passive_present_simple']",We are looking forward to seeing that investigation of the case by the officials concluded asap and perpetrators are brought to justice.
"The trend has significantly increased visitor numbers - especially during the winter season when tourists usually avoided the area because of frost , ice and occasional snow .","['a1_present_simple_3d_pers', 'a1_past_simple_reg', 'a2_relative_clause_others']","The trend has significantly increased visitor numbers - especially during the winter season when tourists usually avoided the area because of frost, ice and occasional snow."
"Details of the arrest were first reported by the New York Times , which suggested the breach involved the possible theft of highly classified computer code developed to hack into the networks of foreign governments .","['a1_past_simple_reg', 'a2_relative_clause_who_which_that', 'a2_to_non_finite_forms', 'a2_passive_past_simple']","Details of the arrest were first reported by the New York Times, which suggested the breach involved the possible theft of highly classified computer code developed to hack into the networks of foreign governments."
He served honorably in the United States Navy as a lieutenant and he has devoted his entire career to protecting his country .,"['a1_past_simple_reg', 'a2_present_perfect']",He served honorably in the United States Navy as a lieutenant and he has devoted his entire career to protecting his country.
